customer_id,first_name,last_name,email,segment,region,city,state,created_at,loyalty_tier
C000001,Dakota,Price,dakota.price1@mail.example,School Program,Coastal,Charleston,SC,2025-07-19T00:00:00,Bronze
C000002,Finley,Murphy,finley.murphy2@mail.example,Loyalty,Piedmont,Charlotte,NC,2025-09-23T00:00:00,Platinum
C000003,Skyler,Foster,skyler.foster3@mail.example,Retail,Smoky Mountains,Knoxville,TN,2024-11-22T00:00:00,Silver
C000004,Taylor,Parker,taylor.parker4@mail.example,Retail,Appalachian,Boone,NC,2024-04-30T00:00:00,Bronze
C000005,Casey,Bell,casey.bell5@mail.example,Corporate,Smoky Mountains,Knoxville,TN,2024-12-19T00:00:00,Silver
C000006,Cameron,Richardson,cameron.richardson6@mail.example,Loyalty,Appalachian,Boone,NC,2025-02-19T00:00:00,Bronze
C000007,Finley,Price,finley.price7@mail.example,Reseller,Blue Ridge,Boone,NC,2025-06-18T00:00:00,Gold
C000008,Cameron,Bennett,cameron.bennett8@mail.example,Guide Service,Coastal,Charleston,SC,2025-06-23T00:00:00,Silver
C000009,Avery,Hayes,avery.hayes9@mail.example,Loyalty,Appalachian,Boone,NC,2024-08-06T00:00:00,Gold
C000010,Skyler,Griffin,skyler.griffin10@mail.example,Reseller,Piedmont,Charlotte,NC,2024-07-03T00:00:00,Gold
C000011,Sawyer,Brooks,sawyer.brooks11@mail.example,Guide Service,Foothills,Hickory,NC,2025-09-22T00:00:00,Silver
C000012,Taylor,Turner,taylor.turner12@mail.example,Loyalty,Appalachian,Roanoke,VA,2025-07-11T00:00:00,Platinum
C000013,Drew,Bell,drew.bell13@mail.example,Guide Service,Appalachian,Roanoke,VA,2025-11-02T00:00:00,Silver
C000014,Quinn,Griffin,quinn.griffin14@mail.example,Corporate,Appalachian,Johnson City,TN,2024-03-19T00:00:00,Silver
C000015,Avery,Foster,avery.foster15@mail.example,Retail,Appalachian,Roanoke,VA,2025-07-25T00:00:00,Silver
C000016,Drew,Powell,drew.powell16@mail.example,Guide Service,Appalachian,Johnson City,TN,2025-11-26T00:00:00,Silver
C000017,Drew,Powell,drew.powell17@mail.example,Reseller,Blue Ridge,Asheville,NC,2024-03-22T00:00:00,Gold
C000018,Reese,Collins,reese.collins18@mail.example,Guide Service,Piedmont,Charlotte,NC,2024-09-10T00:00:00,Bronze
C000019,Cameron,Bennett,cameron.bennett19@mail.example,Guide Service,Blue Ridge,Roanoke,VA,2024-10-15T00:00:00,Bronze
C000020,Harper,Bailey,harper.bailey20@mail.example,Guide Service,Appalachian,Roanoke,VA,2025-10-07T00:00:00,B2B Account
C000021,Jamie,Powell,jamie.powell21@mail.example,Corporate,Blue Ridge,Boone,NC,2025-06-10T00:00:00,Platinum
C000022,Emerson,Sanders,emerson.sanders22@mail.example,Retail,Coastal,Charleston,SC,2025-11-06T00:00:00,Silver
C000023,Jordan,Wood,jordan.wood23@mail.example,Loyalty,Piedmont,Charlotte,NC,2025-11-10T00:00:00,Bronze
